报价项目,,备注
谷歌高级副总裁分享,云大楼，gemini大模型从底层设计到推理到基础设施、特点、优势，和其他大厂的区别。回答提问非常擅长,谷歌云大楼内分享2小时（尽量往谷歌本身的大楼里分享）新区的visitor center看预约一下也去打个卡 
英伟达研发科学家分享,Eric年轻32岁左右，合作过三年，他在英伟达5年，GPU核心项目的科学家。南洋理工毕业，斯坦福硕博。他自己做GPU项目的特点和优势，可以给大家最新的东西分享，以及此前的几代GPU。英伟达的护城河如何。,分享2小时，外面找会议室，一般是Q Bay
斯坦福startx参访,争取联系CEO出来 讲，是一个美国女人Shannon McClenaghan,参观与分享2.5小时。在校园外围
纳斯达克创业中心参访,CEO Andrea,参观与分享2小时
,Xx 可以和一个律所做问答，帮大家 ,
D-Matrix,有点不确定，场地不一定够大，可能被NV收购，解决推理太贵太慢的问题。,"分享2小时,"
,试试约Groq，,
亚马逊（甲骨文）云服务中心,甲骨文不容易进，亚马逊应该可以，谷歌云，微软云服务中心。,参观及追女孩与分享2小时
Meta AI总监分享,龙波总监，只要不出差就可以。备选亚马逊首席AI科学家，对一线大模型的思考。,分享2小时，要在外面
Ambience healthcare,帮医生写病历。以及找VP,分享2小时
Harvey AI,法律的。VP或Senior director,分享2小时
Cognition AI,Devin,分享2小时
扎克伯格小屋聚会,可以室外烧烤，核心是看能请来谁,3-4小时
