大类工作内容,二级内容,三级内容（本列开始，后面的列都是平行的任务）,,,,,,,
考察团,,,,,,,,,
,资源演讲人资源,网搜资源（大模型配合Youtube视频）,朋友圈找人协助寻找目标导师,查背景,写邮件,合作协议拟定,对方收款invoice拟定,日程协调,
,地接联络,找,分房表的不断更新（耗时）,,,,,,
,采购,线上信用卡采购,公司对公支付,采购协议拟定,,,,,
,分销,分销协议,,,,,,,
,招募,公众号文案撰写,报名表编制,加用户微信,一对一解释（耗时）,一对一电话,协议起草,协议条款协商,协议盖章
,用户群运营,一对一发通知,拉群,群通知,制作问卷,制作文档（书单，资料表）,,,
,签证引导,邀请函,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日常行政类工作,行政,付款申请,海外合作协议拟定,提报销,收集发票,计算提成,小鹅通里查用户支付情况,,
,,,,,,,,,
前哨大会,提纲打磨,出稿子,找案例,,,,,,
,,,,,,,,,
直播,给思路,提纲打磨,出稿子,给案例,,,,,
,约嘉宾,嘉宾电话会聊思路,给嘉宾写一个直播SOP文件,,,,,,
对外合作,出合作的思路,出协议,,,,,,,
,,,,,,,,,
公众号内容输出找选题,每日要闻提供,,,,,,,,
,,,,,,,,,
像万老师一样用AI,当导师,给暴论,写小诗,,,,,,
,,,,,,,,,
小鹅通使用,研究用户活跃情况,提醒用户上课,找到新用户,找到未成交的销售机会,,,,,
,,,,,,,,,
微信公众号后台,分析关注的用户情况,分析新的销售可能性,,,,,,,
微信视频号后台,分析直播数据,分析视频效果数据,,,,,,,
微信运营,自动群发消息,,,,,,,,
,,,,,,,,,
研究科技营用户转到飞书的利弊,,,,,,,,,
,,,,,,,,,
AI 协助个人投资,,,,,,,,,
,,,,,,,,,
AI结合你的点子（可以弄个RAG？比如把get笔记里你自己的东西导入？），生成小红书或抖音文案,,,,,,,,,
,,,,,,,,,
小鹅通的数据是否可以同步到多维表格？,,,,,,,,,
,,,,,,,,,
用户运营,收集意见,监控主要问题,高效收集问题，不重不漏,,,,,,
